Jan-23;Jml Peserta;Feb-23;Jml Peserta;Mar-23;Jml Peserta;Apr-23;Jml Peserta;Mei-23;Jml Peserta;Jun-23;Jml Peserta;Jul-23;Jml Peserta;Agu-23;Jml Peserta;Sep-23;Jml Peserta;Okt-23;Jml Peserta;Nov-23;Jml Peserta;Des-23;Jml Peserta;Jan-24;Jml Peserta;Feb-24;Jml Peserta
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Desa Wonoketingal;40;Desa Turirejo;42;Desa Kebonagung;37;Balai Desa Jali, Kecamatan Bonang;107;Desa pasir;30;Desa Jatisono;35;PKM Guntur 1 dan PKM Guntur 2;55;Puskesmas Kebonagung;78;Puskesmas Mranggen 2;24;Desa Babat;72;Desa Gaji;20;Puskesmas Guntur II;29;puskesmas karangawen 2;62;Puskesmas Mranggen 3;38
Kelurahan Wonorejo;30;Lapangan Tembiring Demak;10;Balai Desa Mulyorejo Kec Demak;96;Desa Betahwalang;53;Desa Karangawen;43;Desa Brumbung;20;Desa Megonten;38;Puskesmas Karanganyar 2;111;Pasar Mranggen;10;Puskesmas Sayung II;44;Puskesmas Demak 2;24;PT LUCKY TEXTILE DEMAK;35;Desa Rejosari;34;pkm wedung 2;31
Desa Rejosari Kec. Mijen;59;Lapangan Tembiring Demak;12;Desa Kenduren;36;Betahwalang;85;Desa Bumirejo;57;Desa Werdoyo;37;Desa Balirejo;11;Puskesmas Wedung 2;34;Puskesmas Mijen 1;92;Puskesmas Dempet;25;Puskesmas Karangtengah;20;;;PKM SAYUNG II;64;Kecamatan Karangawen;20
Desa kedunguter;36;Desa Kedungwaru kidul;43;Kelurahan Bango;40;Kelurahan Sidorejo, Karangawen;87;Desa Dempet;30;Pundenarum;20;Desa Kebonsari;256;Puskesmas Bonang 1;22;Pasar Buyaran;15;Puskesmas Demak I;9;Kecamatan Karangawen;24;;;PKM Dempet;22;;
Desa Banjarsari;86;Lapangan Tembiring Demak;17;Desa Jetak;56;;;pendopo demak;20;Tlogopandogan;25;Desa Sambung;19;Puskesmas Mijen 2;22;Pasar Bintoro;10;Puskesmas Wedung I;13;Desa Sampang;27;;;PKM DEMPET;31;;
Kecamatan Karangtengah;15;Balai Desa Ngaluran, Kec Karanganyar, Kab Demak;87;Desa Karangtengah demak;27;;;Balai desa Wringinjajar;20;Desa Pulosari;21;Desa Prigi;18;Puskesmas Guntur 2;23;Puskesmas Mranggen 1;51;Puskesmas Wonosalam II;35;Puskesmas Kebonagung;47;;;;;;
kelurahan tlogorejo;34;Desa Mutih Wetan;35;;;;;Desa Kendalasem;119;;;Desa Tedunan;30;Puskesmas Mranggen 3;52;Puskesmas Bonang 1;27;Desa Pulosari;15;Desa Sriwulan;34;;;;;;
Desa Solowire;49;Taman Parkir Tembiring Jogo Indah Demak;9;;;;;Desa Blerong;20;;;Desa Teluk;32;Puskesmas Gajah 2;87;Puskesmas Karangawen 1;57;Puskesmas Wedung II;23;Kelurahan Wates;31;;;;;;
Kelurahan Rejosari Demak;20;Desa Kuripan Kec Karangawen;74;;;;;;;;;;;Puskesmas Karangawen 2;49;Desa Tugu Sayung;27;Puskesmas Wonosalam I;17;Puskesmas Guntur I;89;;;;;;
;;;;;;;;;;;;;;;;Pasar Wedung;6;Puskesmas Mranggen I;26;;;;;;;;
;;;;;;;;;;;;;;;;Puskesmas Gajah 1;43;Desa Batusari;24;;;;;;;;
;;;;;;;;;;;;;;;;Puskesmas Mijen 1;13;;;;;;;;;;
;;;;;;;;;;;;;;;;Puskesmas Bonang 2;29;;;;;;;;;;
