Januari 2023;;Febuari 2023;;Maret 2023;;Apr-23;;Mei 2023;;Juni 2023;;Juli 2023;;Agutus 2023;;Sep-23;;Oktober 2023;;Nov-23;;Desember 2023;;Januari 2024;;Febuari  2024;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Balai penelitian dan pengembangan agama;17;DPRD Provinsi Jawa Tengah;36;kantor kecamatan mijen;30;DITRESKRIMUM POLDA JATENG;35;kecamatan semarang barat;41;Kecamatan Gunungpati;34;Kecamatan Genuk;30;Kecamatan Mijen;38;Kecamatan Genuk;38;Kelurahan Manyaran;22;Kelurahan Muktiharjo Kidul;55;Puskesmas Tlogosari Wetan;68;Puskesmas Tlogosari Kulon;70;Kelurahan Meteseh;30
Kecamatan Semarang Utara;30;Puskesmas Kedungmundu;46;Puskesmas Srondol;25;Kelurahan Jatibarang;29;Kecamatan Mijen;35;Kecamatan Mijen;71;RSUP Dr Kariadi;23;Kecamatan Gayamsari;20;Kecamatan Semarang Tengah;33;Puskesmas Tlogosari Kulon;35;Kecamatan Gayamsari;42;Kec Gunungpati;19;Kecamatan Banyumanik;27;Puskesmas Bugangan;44
LLDIKTI WILAYAH VI;26;KANTOR KECAMATAN GUNUNGPATI SEMARANG;21;kecamatan pedurungan;20;Balaidesa Dukun Kec Karang Tengah;20;Desa Banyumeneng;22;Puskesmas rowosari;74;Puskesmas Halmahera;33;Kecamatan Semarang Utara;25;Kelurahan Bumiharjo;18;Kecamatan Mijen;40;Kecamatan Pedurungan;32;Puskesmas Bangetayu;85;RSUP DR KARIADI;47;Kantor Kecamatan Pedurungan;50
Kecamatan Gayamsari;38;kanwil bpn jateng;18;kecamatan semarang utara;23;kelurahan tugurejo;13;Puskesmas Karangayu;20;Kel Manyaran;51;Kelurahan Jatibarang;20;Kecamatan Banyumanik;25;RS Dr. Kariadi;29;Kecamatan Semarang Utara;22;Kecamatan Mijen;51;Kelurahan Sendangguwo;52;kelurahan tanjungmas;28;Kelurahan Jomblang;35
MCS Mijen;30;Dinas Balai Besar Penangkapan Ikan;20;Kec. Genuk;24;RS Telogorejo;61;Puskesmas Ngaliyan;46;KECAMATAN SEMARANG BARAT;40;Kecamatan Mijen;38;Kecamatan Gunungpati;30;BU Lucky Textile;51;Kelurahan Tlogosari Wetan;28;Kecamatan Semarang Utara;12;Kelurahan Brumbungan;58;Kelurahan Pedalangan;49;Puskesmas Genuk;78
Dinas Pendidikan Kota Semarang;11;Desa Kuncir;12;Puskesmas Karang malang;30;Balai Kota Semarang;25;kecamatan gayamsari;43;Kelurahan Kembangarum;37;Polimarin;42;RSJD Dr Amino ;42;Pasar Wonolopo;12;Kelurahan Gisikdrono;31;Puskesmas Tambakaji;34;Kecamatan mijen;60;KELURAHAN MUKTIHARJO KIDUL;71;RSUP Dr Kariadi;31
Kelurahan Kembang Arum;40;Puskesmas Gunungpati;9;Desa Weding;113;RSUD Tugurejo;21;kelurahan tanjungmas;75;RSUD TUGUREJO;39;Ditreskrimum Polda Jateng;40;BU Pantja Tunggal;37;Dinas Kesehatan Prov. Jateng;16;Puskesmas Srondol;26;Kecamatan Gunungpati;32;UNNES;38;Puskesmas Mijen;51;Puskesmas Ngaliyan;80
Dinas Perhubungan Kota Semarang;27;Biddokes Polda Jateng;30;RSJD DR. AMINO GONDOHUTOMO;40;puskesmas lamper tengah;43;RS Tugurejo;24;Puskesmas Kedungmundu;71;Puskesmas Kedungmundu;61;Puskesmas Sekaran;31;Kelurahan Tlogomulyo;51;Kelurahan Panggung Lor;33;Kelurahan Srondol Wetan;35;RS KRMT Wongsonegoro;90;Kecamatan Semarang Barat;26;Kecamatan Mijen;60
Kecamatan Genuk;30;Kejaksaan Negeri Semarang;11;Hubdam kodam IV/DIP;42;Kecamatan Banyumanik;20;Puskesmas Tambakaji ;62;KANTOR KELURAHAN TAWANGSARI;25;Pasar Johar Semarang;7;Kelurahan Karangroto;56;Puskesmas Mijen;41;Puskesmas Genuk;64;Kecamatan Genuk;43;KELURAHAN TLOGOMULYO;53;Kecamatan Semarang Utara;40;Kelurahan Kembangarum;25
POLIMARIN;32;dinas catatan sipil ;3;Dukcapil Kota Semarang;25;;;Kelurahan TLOGOSARI WETAN;30;Kecamatan Semarang Selatan;32;DJP Kanwil I;28;Kecamatan Semarang Barat;29;Kelurahan Ketanjung;15;Kelurahan Kembangarum;11;Univ. Negeri Semarang;58;Kecamatan Tembalang;43;Kecamatan Ngaliyan;65;Kelurahan Srondol;30
Kejaksaan negeri semarang;20;Zidam IV Diponegoro;32;RS BHAYANGKARA;32;;;Kelurahan Karanganyar;20;RS KRMT Wongsonegoro;21;Dukcapil;21;Puskesmas Tambakaji;27;RSJD Dr. Amino;54;Puskesmas Padangsari;70;Kelurahan Tandang;42;Puskesmas Padangsari;31;Puskesmas Rowosari;34;Puskesmas Manyaran;122
Balai pendapatan daerah kota semarang;30;BPSDMD;28;Kelurahan Bangetayu Wetan;20;;;KECAMATAN SEMARANG UTARA;62;DISDUKCAPIL;26;Kecamatan Pedurungan;12;Kelurahan Kuningan;38;Kelurahan Sendangmulyo;45;Kelurahan Bulu Lor;28;Kelurahan Bangetayu Kulon;39;PT Mikroland;10;KEL PLAMONGANSARI;31;pkm karangdoro;73
Balai Kota;12;Puskesmas Gayamsari;41;Kecamatan Ngaliyan;26;;;RS TELOGOREJO;41;Kecamatan Gayamsari;38;Dinkes Kota Semarang;17;Puskesmas Tlogosari Kulon;65;RSUD Tugurejo;30;Kelurahan Palebon;26;Kelurahan Sendang Mulyo;53;Puskesmas Krobokan;71;KEC SEMARANG TIMUR;48;Kecamatan Genuk;60
;;kecamatan semarang barat;17;Puskesmas Bandarharjo;30;;;Kelurahan Bangetayu Wetan;24;kecamatan tembalang;28;Puskesmas Bangetayu;45;RS KRMT Wongsonegoro;22;Puskesmas Pudakpayung;42;Puskesmas Purwoyoso;47;Kelurahan Pandean Lamper;45;Kelurahan Tlogosari Kulon;62;Puskesmas Gunungpati;44;RSUD Tugurejo;20
;;;;PUSKESMAS MIJEN;78;;;Kecamatan Semarang Timur;24;;;Puskesmas Gayamsari;64;Dukcapil;12;;;Kelurahan Sukorejo;53;RSJD. Dr. Amino Gondohutomo;45;;;Puskesmas Ngemplak Simongan;52;Kelurahan Sendangmulyo;32
;;;;Puskesmas Karangdoro;38;;;RSUD K.R.M.T WONGSONEGORO;58;;;Kelurahan Bangetayu Kulon;45;Kecamatan Tembalang;20;;;Kelurahan Bringin;50;Puskesmas Manyaran;95;;;Puskesmas Srondol;46;Dinas Kependudukan dan Pencatatan Sipil;28
;;;;PT FOCON;38;;;Dukcapil Semarang;27;;;;;RSI Sultan Agung;32;;;Kelurahan Kudu;49;Kecamatan Semarang Tengah;34;;;PKM LAMPER TENGAH;68;Puskesmas Tambakaji;60
